userID,itemID,rating,category,occupation
1588,14,2,Drinks,dancer
1588,21,3,Veg,dancer
1588,23,4,Veg,dancer
1588,18,3,Bakery,dancer
1213,6,3,EggFood,scientist
1213,47,2,Veg,scientist
1213,38,2,Non Veg,scientist
1213,15,1,Drinks,scientist
1213,41,2,Veg,scientist
1213,26,1,Drinks,scientist
1302,6,2,EggFood,professor
1302,48,4,Bakery,professor
1302,30,4,SeaFood,professor
1302,37,4,Veg,professor
1302,4,4,Non Veg,professor
1302,5,2,Non Veg,professor
1302,45,2,Non Veg,professor
1302,18,4,Bakery,professor
1302,26,3,Drinks,professor
1647,6,3,EggFood,musician
1647,30,3,SeaFood,musician
1647,10,4,Drinks,musician
1647,40,1,Veg,musician
1647,36,4,SeaFood,musician
1647,1,1,EggFood,musician
1647,11,4,Drinks,musician
460,6,4,EggFood,student
460,22,2,Veg,student
460,9,4,Drinks,student
460,7,3,Drinks,student
460,7,4,Drinks,student
460,15,4,Drinks,student
460,45,3,Non Veg,student
1239,6,1,EggFood,sportsperson
1239,30,1,SeaFood,sportsperson
1239,32,1,SeaFood,sportsperson
785,6,4,EggFood,engineer
785,17,3,Bakery,engineer
785,34,3,SeaFood,engineer
785,34,3,SeaFood,engineer
785,2,2,Non Veg,engineer
785,2,1,Non Veg,engineer
785,32,3,SeaFood,engineer
785,5,2,Non Veg,engineer
785,33,2,SeaFood,engineer
1014,6,3,EggFood,doctor
1014,27,3,Bakery,doctor
1014,19,4,Non Veg,doctor
1014,2,1,Non Veg,doctor
1014,32,1,SeaFood,doctor
1014,44,2,Non Veg,doctor
77,6,1,EggFood,musician
77,22,1,Veg,musician
77,43,3,Veg,musician
77,24,4,Veg,musician
77,13,4,Drinks,musician
77,31,4,Non Veg,musician
312,6,3,EggFood,professor
312,17,2,Bakery,professor
312,4,2,Non Veg,professor
312,15,1,Drinks,professor
312,45,3,Non Veg,professor
312,1,2,EggFood,professor
453,6,3,EggFood,scientist
453,22,1,Veg,scientist
453,28,1,Drinks,scientist
1920,6,1,EggFood,student
1920,12,1,Drinks,student
1920,13,2,Drinks,student
1920,35,3,SeaFood,student
1877,6,3,EggFood,musician
1877,39,4,Non Veg,musician
1877,19,1,Non Veg,musician
1877,17,3,Bakery,musician
1877,42,1,Non Veg,musician
1877,38,3,Non Veg,musician
1877,30,2,SeaFood,musician
1877,12,3,Drinks,musician
855,6,2,EggFood,engineer
855,34,3,SeaFood,engineer
855,48,3,Bakery,engineer
855,2,4,Non Veg,engineer
855,37,1,Veg,engineer
855,12,2,Drinks,engineer
855,12,4,Drinks,engineer
855,40,3,Veg,engineer
855,41,1,Veg,engineer
1259,6,2,EggFood,sportsperson
1259,39,4,Non Veg,sportsperson
1259,39,1,Non Veg,sportsperson
1259,17,2,Bakery,sportsperson
1259,23,4,Veg,sportsperson
1259,31,2,Non Veg,sportsperson
1259,18,1,Bakery,sportsperson
1097,6,3,EggFood,musician
1097,30,2,SeaFood,musician
1097,7,3,Drinks,musician
1097,44,3,Non Veg,musician
1607,6,4,EggFood,musician
1607,9,1,Drinks,musician
1607,7,2,Drinks,musician
551,6,4,EggFood,educator
551,28,4,Drinks,educator
551,12,4,Drinks,educator
551,12,1,Drinks,educator
551,15,4,Drinks,educator
551,8,3,Drinks,educator
551,1,3,EggFood,educator
1050,6,2,EggFood,student
1050,43,2,Veg,student
1050,43,4,Veg,student
1050,5,3,Non Veg,student
1050,40,3,Veg,student
1050,29,2,Non Veg,student
966,6,4,EggFood,architecturer
966,42,4,Non Veg,architecturer
966,21,3,Veg,architecturer
966,48,2,Bakery,architecturer
966,12,2,Drinks,architecturer
966,49,4,Non Veg,architecturer
966,32,4,SeaFood,architecturer
966,40,1,Veg,architecturer
966,26,2,Drinks,architecturer
1938,6,2,EggFood,dancer
1938,19,1,Non Veg,dancer
1938,34,4,SeaFood,dancer
1938,44,3,Non Veg,dancer
1938,33,2,SeaFood,dancer
1938,18,4,Bakery,dancer
1232,6,2,EggFood,professor
1232,34,1,SeaFood,professor
1232,45,2,Non Veg,professor
175,6,4,EggFood,engineer
175,22,2,Veg,engineer
175,22,3,Veg,engineer
175,28,1,Drinks,engineer
175,12,2,Drinks,engineer
175,24,4,Veg,engineer
938,6,1,EggFood,dancer
938,34,4,SeaFood,dancer
938,44,4,Non Veg,dancer
938,8,1,Drinks,dancer
938,18,3,Bakery,dancer
938,26,1,Drinks,dancer
1229,6,4,EggFood,sportsperson
1229,42,4,Non Veg,sportsperson
1229,10,1,Drinks,sportsperson
1229,28,1,Drinks,sportsperson
1229,45,4,Non Veg,sportsperson
1229,18,3,Bakery,sportsperson
666,6,2,EggFood,architecturer
666,3,2,Non Veg,architecturer
666,34,3,SeaFood,architecturer
666,23,2,Veg,architecturer
666,8,4,Drinks,architecturer
666,35,1,SeaFood,architecturer
1656,6,2,EggFood,architecturer
1656,17,1,Bakery,architecturer
1656,47,4,Veg,architecturer
1656,3,1,Non Veg,architecturer
1656,2,4,Non Veg,architecturer
1656,49,2,Non Veg,architecturer
1656,29,1,Non Veg,architecturer
1656,11,1,Drinks,architecturer
1772,6,4,EggFood,professor
1772,25,4,Drinks,professor
1772,9,4,Drinks,professor
1772,14,4,Drinks,professor
1772,7,1,Drinks,professor
1772,44,1,Non Veg,professor
1772,35,3,SeaFood,professor
812,6,4,EggFood,professor
812,6,1,EggFood,professor
812,25,1,Drinks,professor
812,23,1,Veg,professor
812,5,3,Non Veg,professor
812,40,1,Veg,professor
1336,6,2,EggFood,architecturer
1336,17,2,Bakery,architecturer
1336,8,3,Drinks,architecturer
1336,31,3,Non Veg,architecturer
1336,1,2,EggFood,architecturer
985,6,1,EggFood,engineer
985,37,3,Veg,engineer
985,13,1,Drinks,engineer
985,1,4,EggFood,engineer
987,6,3,EggFood,musician
987,6,1,EggFood,musician
987,2,2,Non Veg,musician
987,4,3,Non Veg,musician
987,46,1,Veg,musician
987,35,3,SeaFood,musician
921,6,2,EggFood,educator
921,42,3,Non Veg,educator
921,1,3,EggFood,educator
1858,6,4,EggFood,dancer
1858,16,1,Drinks,dancer
1858,19,4,Non Veg,dancer
1858,42,3,Non Veg,dancer
1858,38,3,Non Veg,dancer
1858,10,1,Drinks,dancer
1858,20,2,Veg,dancer
1088,6,3,EggFood,dancer
1088,3,1,Non Veg,dancer
1088,46,3,Veg,dancer
1088,45,4,Non Veg,dancer
1088,18,4,Bakery,dancer
1088,26,3,Drinks,dancer
1119,6,1,EggFood,sportsperson
1119,24,3,Veg,sportsperson
1119,45,4,Non Veg,sportsperson
1119,36,2,SeaFood,sportsperson
1119,36,1,SeaFood,sportsperson
1119,8,2,Drinks,sportsperson
1119,29,4,Non Veg,sportsperson
960,6,3,EggFood,student
960,20,4,Veg,student
960,46,4,Veg,student
1648,6,2,EggFood,dancer
1648,16,3,Drinks,dancer
1648,3,2,Non Veg,dancer
1648,14,4,Drinks,dancer
1648,20,4,Veg,dancer
1648,49,1,Non Veg,dancer
1648,46,3,Veg,dancer
1847,6,4,EggFood,musician
1847,22,3,Veg,musician
1847,37,4,Veg,musician
1847,41,2,Veg,musician
1847,13,2,Drinks,musician
1847,26,2,Drinks,musician
500,6,4,EggFood,student
500,21,4,Veg,student
500,23,3,Veg,student
1825,6,2,EggFood,engineer
1825,39,4,Non Veg,engineer
1825,46,1,Veg,engineer
1825,33,2,SeaFood,engineer
1825,40,4,Veg,engineer
1825,36,1,SeaFood,engineer
1825,36,1,SeaFood,engineer
471,6,1,EggFood,educator
471,25,1,Drinks,educator
471,47,3,Veg,educator
471,34,1,SeaFood,educator
471,32,2,SeaFood,educator
471,18,1,Bakery,educator
471,1,4,EggFood,educator
146,6,4,EggFood,architecturer
146,6,1,EggFood,architecturer
146,39,1,Non Veg,architecturer
146,9,4,Drinks,architecturer
146,24,1,Veg,architecturer
146,32,2,SeaFood,architecturer
146,45,4,Non Veg,architecturer
192,6,2,EggFood,professor
192,12,3,Drinks,professor
192,7,4,Drinks,professor
192,15,2,Drinks,professor
192,1,3,EggFood,professor
573,6,3,EggFood,scientist
573,39,4,Non Veg,scientist
573,27,3,Bakery,scientist
573,12,3,Drinks,scientist
573,7,2,Drinks,scientist
573,4,3,Non Veg,scientist
573,24,1,Veg,scientist
573,20,2,Veg,scientist
573,32,4,SeaFood,scientist
573,32,3,SeaFood,scientist
1703,6,1,EggFood,scientist
1703,14,1,Drinks,scientist
1703,24,3,Veg,scientist
1703,24,4,Veg,scientist
1703,29,1,Non Veg,scientist
115,6,3,EggFood,engineer
1784,6,3,EggFood,doctor
1784,32,4,SeaFood,doctor
1784,46,3,Veg,doctor
1784,29,4,Non Veg,doctor
186,6,3,EggFood,architecturer
186,17,2,Bakery,architecturer
186,42,4,Non Veg,architecturer
186,42,4,Non Veg,architecturer
186,43,4,Veg,architecturer
186,20,3,Veg,architecturer
186,44,2,Non Veg,architecturer
186,15,3,Drinks,architecturer
617,6,4,EggFood,musician
617,3,1,Non Veg,musician
617,43,1,Veg,musician
617,5,2,Non Veg,musician
617,8,4,Drinks,musician
617,11,3,Drinks,musician
155,6,3,EggFood,engineer
155,12,4,Drinks,engineer
155,44,1,Non Veg,engineer
1193,6,1,EggFood,scientist
1193,47,3,Veg,scientist
1193,37,1,Veg,scientist
1193,37,1,Veg,scientist
1193,31,4,Non Veg,scientist
711,6,4,EggFood,educator
711,16,1,Drinks,educator
711,34,4,SeaFood,educator
711,48,1,Bakery,educator
711,31,2,Non Veg,educator
1046,6,3,EggFood,architecturer
1046,17,3,Bakery,architecturer
1046,15,1,Drinks,architecturer
1046,1,3,EggFood,architecturer
156,6,2,EggFood,architecturer
156,22,4,Veg,architecturer
156,3,2,Non Veg,architecturer
156,42,1,Non Veg,architecturer
156,10,2,Drinks,architecturer
156,20,1,Veg,architecturer
156,15,1,Drinks,architecturer
156,13,4,Drinks,architecturer
156,36,4,SeaFood,architecturer
156,29,3,Non Veg,architecturer
509,6,3,EggFood,sportsperson
509,38,2,Non Veg,sportsperson
509,2,3,Non Veg,sportsperson
509,28,4,Drinks,sportsperson
509,37,2,Veg,sportsperson
509,46,3,Veg,sportsperson
509,5,4,Non Veg,sportsperson
509,31,3,Non Veg,sportsperson
509,18,3,Bakery,sportsperson
509,29,4,Non Veg,sportsperson
509,26,1,Drinks,sportsperson
447,6,4,EggFood,musician
447,34,3,SeaFood,musician
447,48,1,Bakery,musician
447,4,3,Non Veg,musician
447,15,1,Drinks,musician
1896,6,1,EggFood,architecturer
1896,3,4,Non Veg,architecturer
1896,23,3,Veg,architecturer
1896,20,1,Veg,architecturer
1896,44,2,Non Veg,architecturer
86,6,2,EggFood,architecturer
86,6,1,EggFood,architecturer
86,25,4,Drinks,architecturer
86,37,3,Veg,architecturer
86,24,2,Veg,architecturer
86,1,4,EggFood,architecturer
86,29,1,Non Veg,architecturer
1677,6,4,EggFood,musician
1677,22,2,Veg,musician
1677,10,3,Drinks,musician
1677,28,3,Drinks,musician
1677,35,3,SeaFood,musician
876,6,3,EggFood,architecturer
876,27,1,Bakery,architecturer
876,17,2,Bakery,architecturer
876,42,2,Non Veg,architecturer
876,28,4,Drinks,architecturer
876,23,1,Veg,architecturer
876,7,1,Drinks,architecturer
876,49,2,Non Veg,architecturer
876,18,2,Bakery,architecturer
970,6,3,EggFood,student
970,22,3,Veg,student
970,34,4,SeaFood,student
970,38,4,Non Veg,student
970,15,1,Drinks,student
970,5,1,Non Veg,student
1910,6,2,EggFood,student
1910,39,4,Non Veg,student
1910,49,4,Non Veg,student
1910,40,1,Veg,student
1910,41,2,Veg,student
1910,29,3,Non Veg,student
1005,6,4,EggFood,engineer
1005,10,2,Drinks,engineer
1005,33,3,SeaFood,engineer
1005,31,2,Non Veg,engineer
1722,6,2,EggFood,professor
1722,9,4,Drinks,professor
1722,21,4,Veg,professor
1722,48,1,Bakery,professor
1722,1,3,EggFood,professor
1665,6,2,EggFood,engineer
1665,14,1,Drinks,engineer
1665,14,2,Drinks,engineer
1665,40,1,Veg,engineer
1857,6,3,EggFood,musician
1857,19,2,Non Veg,musician
1857,24,1,Veg,musician
1857,44,1,Non Veg,musician
1857,36,4,SeaFood,musician
1857,35,4,SeaFood,musician
1340,6,3,EggFood,student
1340,19,3,Non Veg,student
1340,17,3,Bakery,student
1340,2,2,Non Veg,student
1510,6,3,EggFood,student
1510,19,1,Non Veg,student
1510,17,3,Bakery,student
1510,43,3,Veg,student
1510,46,2,Veg,student
1510,1,1,EggFood,student
401,6,1,EggFood,educator
401,39,2,Non Veg,educator
401,49,3,Non Veg,educator
1679,6,3,EggFood,sportsperson
1679,47,1,Veg,sportsperson
1679,21,4,Veg,sportsperson
469,6,2,EggFood,sportsperson
469,42,4,Non Veg,sportsperson
469,48,4,Bakery,sportsperson
469,23,3,Veg,sportsperson
469,13,3,Drinks,sportsperson
469,13,4,Drinks,sportsperson
469,1,2,EggFood,sportsperson
469,26,2,Drinks,sportsperson
1747,6,4,EggFood,musician
1747,39,4,Non Veg,musician
1747,19,1,Non Veg,musician
1747,14,2,Drinks,musician
1747,10,4,Drinks,musician
1747,12,4,Drinks,musician
1747,45,1,Non Veg,musician
1747,36,1,SeaFood,musician
1998,6,4,EggFood,dancer
1998,22,3,Veg,dancer
1998,25,1,Drinks,dancer
1998,9,4,Drinks,dancer
1998,42,4,Non Veg,dancer
1998,21,3,Veg,dancer
1998,38,2,Non Veg,dancer
1998,15,1,Drinks,dancer
1998,13,4,Drinks,dancer
435,6,1,EggFood,engineer
435,25,1,Drinks,engineer
435,46,1,Veg,engineer
834,6,4,EggFood,doctor
834,16,3,Drinks,doctor
834,35,4,SeaFood,doctor
834,35,1,SeaFood,doctor
834,11,3,Drinks,doctor
639,6,2,EggFood,sportsperson
639,19,1,Non Veg,sportsperson
639,7,3,Drinks,sportsperson
639,46,3,Veg,sportsperson
639,8,3,Drinks,sportsperson
639,18,4,Bakery,sportsperson
213,6,4,EggFood,scientist
213,22,1,Veg,scientist
213,20,4,Veg,scientist
213,49,2,Non Veg,scientist
1266,6,1,EggFood,architecturer
1266,47,1,Veg,architecturer
1266,34,4,SeaFood,architecturer
1266,38,3,Non Veg,architecturer
1266,44,3,Non Veg,architecturer
1266,8,2,Drinks,architecturer
1266,35,3,SeaFood,architecturer
524,6,3,EggFood,doctor
524,41,4,Veg,doctor
524,13,4,Drinks,doctor
635,6,2,EggFood,engineer
635,38,4,Non Veg,engineer
635,2,3,Non Veg,engineer
635,4,3,Non Veg,engineer
635,49,2,Non Veg,engineer
635,41,4,Veg,engineer
635,8,2,Drinks,engineer
635,11,4,Drinks,engineer
716,6,4,EggFood,architecturer
716,17,4,Bakery,architecturer
716,3,4,Non Veg,architecturer
716,37,3,Veg,architecturer
716,4,1,Non Veg,architecturer
716,46,2,Veg,architecturer
716,18,2,Bakery,architecturer
1885,6,4,EggFood,engineer
1885,38,3,Non Veg,engineer
1885,33,4,SeaFood,engineer
1885,41,2,Veg,engineer
1620,6,2,EggFood,student
1620,42,1,Non Veg,student
1620,38,1,Non Veg,student
1620,38,1,Non Veg,student
1620,48,2,Bakery,student
1620,2,2,Non Veg,student
1620,2,1,Non Veg,student
1620,7,3,Drinks,student
1620,33,4,SeaFood,student
1620,45,4,Non Veg,student
1620,13,1,Drinks,student
1620,31,2,Non Veg,student
1755,6,2,EggFood,engineer
1755,19,3,Non Veg,engineer
1755,7,3,Drinks,engineer
1755,44,4,Non Veg,engineer
1950,6,2,EggFood,student
1950,2,1,Non Veg,student
1950,1,4,EggFood,student
1348,6,1,EggFood,dancer
1348,16,4,Drinks,dancer
1348,12,1,Drinks,dancer
1348,24,1,Veg,dancer
1348,24,2,Veg,dancer
1348,45,4,Non Veg,dancer
1298,6,2,EggFood,dancer
1298,25,4,Drinks,dancer
1298,10,2,Drinks,dancer
1298,12,1,Drinks,dancer
1298,4,1,Non Veg,dancer
1298,45,2,Non Veg,dancer
1298,45,2,Non Veg,dancer
1934,6,4,EggFood,doctor
1934,42,1,Non Veg,doctor
1934,34,1,SeaFood,doctor
1934,28,3,Drinks,doctor
1934,23,2,Veg,doctor
760,6,4,EggFood,student
760,38,1,Non Veg,student
760,10,2,Drinks,student
760,10,3,Drinks,student
760,23,2,Veg,student
760,4,4,Non Veg,student
760,4,2,Non Veg,student
760,18,2,Bakery,student
760,35,1,SeaFood,student
828,6,4,EggFood,dancer
828,16,3,Drinks,dancer
828,21,1,Veg,dancer
828,28,3,Drinks,dancer
828,32,4,SeaFood,dancer
828,45,4,Non Veg,dancer
828,26,2,Drinks,dancer
1808,6,3,EggFood,dancer
1808,6,4,EggFood,dancer
1808,6,2,EggFood,dancer
1808,10,3,Drinks,dancer
1808,13,3,Drinks,dancer
139,6,1,EggFood,sportsperson
139,28,2,Drinks,sportsperson
303,6,3,EggFood,scientist
303,3,3,Non Veg,scientist
303,14,3,Drinks,scientist
303,14,1,Drinks,scientist
303,48,1,Bakery,scientist
303,46,2,Veg,scientist
303,44,1,Non Veg,scientist
303,15,4,Drinks,scientist
303,45,1,Non Veg,scientist
303,18,1,Bakery,scientist
1678,6,4,EggFood,dancer
1678,49,1,Non Veg,dancer
1678,32,2,SeaFood,dancer
1866,6,2,EggFood,architecturer
1866,39,2,Non Veg,architecturer
1866,2,4,Non Veg,architecturer
1866,10,3,Drinks,architecturer
1866,23,3,Veg,architecturer
1866,41,3,Veg,architecturer
1912,6,4,EggFood,professor
1912,48,1,Bakery,professor
1912,30,3,SeaFood,professor
1912,23,4,Veg,professor
1783,6,4,EggFood,scientist
1783,39,4,Non Veg,scientist
1783,39,1,Non Veg,scientist
1783,44,3,Non Veg,scientist
1783,31,3,Non Veg,scientist
1195,6,2,EggFood,engineer
1195,20,3,Veg,engineer
1195,49,3,Non Veg,engineer
1195,46,2,Veg,engineer
1195,18,3,Bakery,engineer
713,6,2,EggFood,scientist
713,17,3,Bakery,scientist
713,2,1,Non Veg,scientist
713,36,3,SeaFood,scientist
713,26,1,Drinks,scientist
745,6,3,EggFood,engineer
745,25,3,Drinks,engineer
745,25,4,Drinks,engineer
745,47,4,Veg,engineer
745,37,4,Veg,engineer
745,37,2,Veg,engineer
745,7,4,Drinks,engineer
745,5,3,Non Veg,engineer
745,35,3,SeaFood,engineer
745,11,2,Drinks,engineer
1594,6,4,EggFood,doctor
1594,3,4,Non Veg,doctor
1594,2,1,Non Veg,doctor
1594,30,4,SeaFood,doctor
1594,23,4,Veg,doctor
1594,7,2,Drinks,doctor
1594,24,1,Veg,doctor
1594,24,2,Veg,doctor
1594,5,1,Non Veg,doctor
578,6,4,EggFood,dancer
578,3,2,Non Veg,dancer
578,2,1,Non Veg,dancer
578,23,4,Veg,dancer
1799,6,4,EggFood,sportsperson
1799,24,2,Veg,sportsperson
1799,33,3,SeaFood,sportsperson
1799,41,4,Veg,sportsperson
1799,18,2,Bakery,sportsperson
1799,35,2,SeaFood,sportsperson
1799,11,3,Drinks,sportsperson
835,6,1,EggFood,engineer
835,25,1,Drinks,engineer
835,19,2,Non Veg,engineer
835,47,3,Veg,engineer
608,6,3,EggFood,dancer
608,18,3,Bakery,dancer
1162,6,3,EggFood,professor
1162,22,3,Veg,professor
1162,25,1,Drinks,professor
1162,19,4,Non Veg,professor
1162,14,3,Drinks,professor
1162,32,3,SeaFood,professor
1162,45,4,Non Veg,professor
220,6,4,EggFood,student
220,34,4,SeaFood,student
220,14,2,Drinks,student
220,15,1,Drinks,student
1725,6,4,EggFood,engineer
1725,14,3,Drinks,engineer
1725,21,3,Veg,engineer
68,6,3,EggFood,dancer
68,19,4,Non Veg,dancer
68,28,1,Drinks,dancer
68,35,4,SeaFood,dancer
68,35,3,SeaFood,dancer
864,6,2,EggFood,doctor
864,11,4,Drinks,doctor
1370,6,4,EggFood,student
1370,3,3,Non Veg,student
1370,12,3,Drinks,student
1370,20,4,Veg,student
1370,26,3,Drinks,student
722,6,4,EggFood,professor
722,16,1,Drinks,professor
722,2,2,Non Veg,professor
722,43,2,Veg,professor
722,35,4,SeaFood,professor
377,6,4,EggFood,musician
377,28,2,Drinks,musician
377,40,2,Veg,musician
353,6,3,EggFood,scientist
353,3,4,Non Veg,scientist
353,3,3,Non Veg,scientist
353,28,4,Drinks,scientist
353,44,4,Non Veg,scientist
353,31,4,Non Veg,scientist
778,6,3,EggFood,dancer
778,27,3,Bakery,dancer
778,43,4,Veg,dancer
1428,6,3,EggFood,dancer
1428,42,1,Non Veg,dancer
1428,48,2,Bakery,dancer
1428,12,4,Drinks,dancer
1428,24,3,Veg,dancer
1428,5,1,Non Veg,dancer
1428,35,4,SeaFood,dancer
1452,6,2,EggFood,professor
1452,42,4,Non Veg,professor
1452,14,3,Drinks,professor
1452,21,4,Veg,professor
1452,32,2,SeaFood,professor
1452,15,1,Drinks,professor
1452,13,4,Drinks,professor
1452,36,2,SeaFood,professor
1452,26,4,Drinks,professor
1452,26,4,Drinks,professor
344,6,3,EggFood,doctor
344,9,3,Drinks,doctor
344,38,1,Non Veg,doctor
344,44,4,Non Veg,doctor
344,13,2,Drinks,doctor
587,6,3,EggFood,musician
587,16,1,Drinks,musician
587,9,2,Drinks,musician
587,32,1,SeaFood,musician
587,33,2,SeaFood,musician
587,31,4,Non Veg,musician
1325,6,3,EggFood,engineer
1325,25,4,Drinks,engineer
1325,16,2,Drinks,engineer
1325,4,3,Non Veg,engineer
1741,6,3,EggFood,educator
1741,43,4,Veg,educator
1741,18,1,Bakery,educator
1139,6,2,EggFood,sportsperson
1139,21,1,Veg,sportsperson
1139,48,2,Bakery,sportsperson
1139,33,2,SeaFood,sportsperson
1139,35,3,SeaFood,sportsperson
1139,35,1,SeaFood,sportsperson
576,6,4,EggFood,architecturer
576,39,4,Non Veg,architecturer
576,48,1,Bakery,architecturer
576,43,4,Veg,architecturer
576,20,4,Veg,architecturer
576,46,1,Veg,architecturer
576,11,4,Drinks,architecturer
516,6,3,EggFood,architecturer
516,22,4,Veg,architecturer
516,14,1,Drinks,architecturer
516,10,2,Drinks,architecturer
516,43,2,Veg,architecturer
516,12,2,Drinks,architecturer
516,24,3,Veg,architecturer
516,32,4,SeaFood,architecturer
1489,6,1,EggFood,sportsperson
1489,17,4,Bakery,sportsperson
1489,9,4,Drinks,sportsperson
1489,38,4,Non Veg,sportsperson
908,6,1,EggFood,dancer
908,42,1,Non Veg,dancer
908,32,4,SeaFood,dancer
364,6,1,EggFood,doctor
364,39,2,Non Veg,doctor
364,42,4,Non Veg,doctor
364,40,2,Veg,doctor
364,8,3,Drinks,doctor
1221,6,2,EggFood,educator
1221,38,2,Non Veg,educator
1221,2,4,Non Veg,educator
1221,28,2,Drinks,educator
1221,35,2,SeaFood,educator
1221,35,1,SeaFood,educator
1221,1,2,EggFood,educator
762,6,3,EggFood,professor
762,28,1,Drinks,professor
762,28,4,Drinks,professor
762,36,2,SeaFood,professor
762,11,4,Drinks,professor
586,6,4,EggFood,architecturer
586,9,3,Drinks,architecturer
586,3,1,Non Veg,architecturer
586,43,1,Veg,architecturer
586,23,2,Veg,architecturer
586,32,2,SeaFood,architecturer
1033,6,4,EggFood,scientist
1033,22,4,Veg,scientist
1033,19,3,Non Veg,scientist
1033,42,2,Non Veg,scientist
1033,42,4,Non Veg,scientist
1033,14,4,Drinks,scientist
1149,6,2,EggFood,sportsperson
1149,47,1,Veg,sportsperson
1149,38,3,Non Veg,sportsperson
1149,10,3,Drinks,sportsperson
1149,24,1,Veg,sportsperson
1149,46,2,Veg,sportsperson
1149,44,1,Non Veg,sportsperson
1149,33,2,SeaFood,sportsperson
1149,35,2,SeaFood,sportsperson
157,6,1,EggFood,musician
157,2,3,Non Veg,musician
157,20,4,Veg,musician
157,33,1,SeaFood,musician
157,31,2,Non Veg,musician
157,1,4,EggFood,musician
1065,6,1,EggFood,engineer
1065,6,4,EggFood,engineer
1065,17,2,Bakery,engineer
1065,9,1,Drinks,engineer
1065,10,1,Drinks,engineer
1065,28,2,Drinks,engineer
1065,1,1,EggFood,engineer
60,6,1,EggFood,student
60,30,4,SeaFood,student
60,20,2,Veg,student
42,6,3,EggFood,professor
42,22,1,Veg,professor
42,19,1,Non Veg,professor
42,21,1,Veg,professor
42,7,2,Drinks,professor
42,7,4,Drinks,professor
42,36,2,SeaFood,professor
1196,6,4,EggFood,architecturer
1196,40,4,Veg,architecturer
1587,6,4,EggFood,musician
1587,48,4,Bakery,musician
1587,18,4,Bakery,musician
1987,6,3,EggFood,musician
1987,34,2,SeaFood,musician
1987,38,3,Non Veg,musician
1987,43,4,Veg,musician
1987,4,3,Non Veg,musician
1987,24,3,Veg,musician
1987,11,1,Drinks,musician
185,6,4,EggFood,engineer
185,22,2,Veg,engineer
185,39,4,Non Veg,engineer
185,3,3,Non Veg,engineer
185,2,4,Non Veg,engineer
185,10,2,Drinks,engineer
185,15,3,Drinks,engineer
185,40,1,Veg,engineer
185,8,1,Drinks,engineer
904,6,4,EggFood,doctor
904,47,3,Veg,doctor
904,37,2,Veg,doctor
904,7,4,Drinks,doctor
904,49,4,Non Veg,doctor
